Breakout,Age,Pos_Group,Bats,Throws,Height,Weight,Country,Class_Type,Prospect_Grouping,Prev_Season_WAR,Season_High_WAR,MLB_Certainty,MLB_BB,MLB_K,MLB_AVG,MLB_ISO,MLB_Spd,MLB_wRC,MiLB_Certainty,MiLB_BB,MiLB_K,MiLB_AVG,MiLB_ISO,MiLB_Spd,MiLB_wRC
0,25,Middle Infielder,B,R,69,170,USA,Big D1 College,Unranked Prospect,1.8,1.8,Fewer than 500 MLB PA,0.048,0.142,0.303,0.118,7.1,111,1000-1499 MiLB PA,0.111,0.139,0.286,0.134,6.7,115
0,26,Corner Infielder,L,R,76,255,USA,Big D1 College,Unranked Prospect,0.8,0.8,Fewer than 500 MLB PA,0.089,0.18,0.273,0.195,3.3,125,1500-1999 MiLB PA,0.125,0.193,0.286,0.187,2.8,138
0,25,Outfielder,R,R,73,190,USA,High School,Top 100 Prospect,4.3,4.3,500-999 MLB PA,0.051,0.22,0.253,0.17,7.6,101,2000 or more MiLB PA,0.065,0.18,0.293,0.159,8.4,112
0,24,Corner Outfielder,L,L,72,230,USA,High School,Top 10 Prospect,0.1,1.2,500-999 MLB PA,0.075,0.269,0.248,0.175,3.9,93,1500-1999 MiLB PA,0.103,0.236,0.306,0.216,4.7,142
0,27,Middle Infielder,B,R,72,190,USA,D1 College,Unranked Prospect,-0.6,0.8,500-999 MLB PA,0.066,0.117,0.25,0.031,5.3,63,1500-1999 MiLB PA,0.074,0.1,0.285,0.059,7.4,89
0,26,Corner Infielder,L,L,75,245,USA,Big D1 College,Unranked Prospect,0.2,0.7,500-999 MLB PA,0.093,0.187,0.258,0.169,2.8,98,1500-1999 MiLB PA,0.1,0.141,0.313,0.197,3.5,140
0,35,Corner Outfielder,L,R,72,200,JAP,International Professional,Top 50 Prospect,-0.5,2.4,2000 or more MLB PA,0.134,0.177,0.26,0.139,4,103,Fewer than 500 MiLB PA,,,,,,
0,27,Corner Outfielder,R,R,74,215,USA,Big D1 College,Unranked Prospect,2.3,2.3,Fewer than 500 MLB PA,0.07,0.192,0.29,0.213,3.6,131,2000 or more MiLB PA,0.079,0.164,0.307,0.209,3.8,136
0,22,Corner Infielder,L,L,76,226,USA,High School,Top 10 Prospect,1.1,1.1,500-999 MLB PA,0.06,0.146,0.293,0.172,4.4,113,1000-1499 MiLB PA,0.116,0.151,0.312,0.181,5.6,143
0,25,Corner Infielder,L,R,71,235,USA,D1 College,Unranked Prospect,0.7,0.7,Fewer than 500 MLB PA,0.058,0.223,0.262,0.193,5.7,107,1000-1499 MiLB PA,0.092,0.195,0.308,0.227,5.9,146
0,25,Corner Outfielder,L,R,74,197,USA,Junior College,Top 100 Prospect,2,2,Fewer than 500 MLB PA,0.055,0.203,0.248,0.168,4.7,84,2000 or more MiLB PA,0.077,0.16,0.278,0.222,5.9,120
0,27,Outfielder,R,R,73,220,USA,D3 College,Unranked Prospect,1.5,1.5,500-999 MLB PA,0.066,0.253,0.254,0.21,4.9,108,2000 or more MiLB PA,0.085,0.14,0.294,0.164,6.4,130
0,26,Catcher,B,R,77,235,USA,Big D1 College,Top 10 Prospect,5.7,5.7,1000-1499 MLB PA,0.086,0.184,0.265,0.15,1.6,97,500-999 MiLB PA,0.147,0.153,0.343,0.234,3.3,173
0,27,Infielder,L,R,73,223,USA,D1 College,Unranked Prospect,2.6,2.6,1000-1499 MLB PA,0.071,0.123,0.292,0.149,3.8,111,1000-1499 MiLB PA,0.086,0.105,0.295,0.157,4.3,120
0,22,Middle Infielder,R,R,74,218,DR,International Amateur,Top 25 Prospect,2.7,2.7,1000-1499 MLB PA,0.052,0.137,0.304,0.118,5.6,104,1000-1499 MiLB PA,0.068,0.11,0.31,0.112,7.1,122
0,24,Outfielder,L,R,69,175,USA,High School,Top 100 Prospect,1.5,1.5,500-999 MLB PA,0.055,0.09,0.262,0.04,6.9,67,1500-1999 MiLB PA,0.071,0.083,0.326,0.082,7.8,128
1,23,Corner Infielder,L,R,72,225,USA,High School,Top 10 Prospect,0.3,0.3,Fewer than 500 MLB PA,0.06,0.14,0.263,0.104,2.7,84,1500-1999 MiLB PA,0.069,0.154,0.282,0.221,4.2,124
0,22,Corner Outfielder,L,L,77,240,USA,High School,Top 10 Prospect,1.9,4.6,1000-1499 MLB PA,0.132,0.205,0.255,0.171,4.9,118,1000-1499 MiLB PA,0.105,0.138,0.317,0.189,6.3,149
0,22,Corner Outfielder,R,R,78,245,USA,High School,Top 10 Prospect,4.2,4.2,500-999 MLB PA,0.104,0.29,0.261,0.264,4,132,1000-1499 MiLB PA,0.118,0.266,0.274,0.295,4.3,156
0,30,Middle Infielder,R,R,74,180,CUB,International Professional,Unranked Prospect,4.2,4.2,2000 or more MLB PA,0.06,0.121,0.279,0.143,4.1,95,Fewer than 500 MiLB PA,,,,,,
0,28,Corner Outfielder,L,R,73,220,USA,Big D1 College,Top 10 Prospect,6.6,6.6,2000 or more MLB PA,0.098,0.215,0.262,0.172,4.8,107,1000-1499 MiLB PA,0.146,0.199,0.321,0.257,6,166
